scenario,mode,metric,n,value,ci_low,ci_high,p_value_vs_full
appetitive,full,success_rate,12,1.0,,,
appetitive,no_lateral_inhibition,success_rate,12,0.9167,,,1.0
appetitive,threshold_only,success_rate,12,0.9167,,,1.0
appetitive,full,exp_lambda,12,1.0,1.0,1.0,
appetitive,no_lateral_inhibition,exp_lambda,12,1.0,1.0,1.0,
appetitive,threshold_only,exp_lambda,12,1.0,1.0,1.0,
appetitive,full,exp_latency,12,0.27605,-0.141829,0.693929,
appetitive,no_lateral_inhibition,exp_latency,12,0.497075,-0.052625,1.046775,0.54437
appetitive,threshold_only,exp_latency,12,0.671792,0.066394,1.277189,0.260236
appetitive,full,tswitch,12,0.238283,-0.227059,0.703626,
appetitive,no_lateral_inhibition,tswitch,12,1.450433,0.580291,2.320575,0.580883
appetitive,threshold_only,tswitch,12,0.663167,0.016291,1.310043,0.250643
appetitive,full,roll_rms,12,0.540275,0.536247,0.544303,
appetitive,no_lateral_inhibition,roll_rms,12,0.540958,0.537422,0.544495,0.885209
appetitive,threshold_only,roll_rms,12,0.610667,0.465207,0.756127,0.525283
appetitive,full,pitch_rms,12,1.069883,1.067811,1.071955,
appetitive,no_lateral_inhibition,pitch_rms,12,1.071858,1.070277,1.07344,0.174666
appetitive,threshold_only,pitch_rms,12,1.077425,1.063545,1.091305,0.488328
complex,full,success_rate,12,1.0,,,
complex,no_lateral_inhibition,success_rate,12,0.25,,,0.000337
complex,threshold_only,success_rate,12,0.8333,,,0.478261
complex,full,exp_lambda,12,1.0,1.0,1.0,
complex,no_lateral_inhibition,exp_lambda,12,1.0,1.0,1.0,
complex,threshold_only,exp_lambda,12,1.0,1.0,1.0,
complex,full,exp_latency,12,0.075925,0.059276,0.092574,
complex,no_lateral_inhibition,exp_latency,12,0.081667,0.056933,0.1064,0.340779
complex,threshold_only,exp_latency,12,0.1091,0.089235,0.128965,0.014138
complex,full,tswitch,12,0.425092,-0.067575,0.917758,
complex,no_lateral_inhibition,tswitch,12,0.737733,0.120271,1.355196,0.661463
complex,threshold_only,tswitch,12,0.712958,0.132813,1.293104,0.221796
complex,full,roll_rms,12,0.81525,0.757878,0.872622,
complex,no_lateral_inhibition,roll_rms,12,1.169783,1.063223,1.276344,0.000156
complex,threshold_only,roll_rms,12,0.995017,0.92369,1.066344,0.016575
complex,full,pitch_rms,12,1.04255,1.019354,1.065746,
complex,no_lateral_inhibition,pitch_rms,12,0.924908,0.874701,0.975116,6e-05
complex,threshold_only,pitch_rms,12,1.1095,1.098224,1.120776,0.002946
