fpr,tpr
0.0,0.1303
0.0015,0.1333
0.003,0.1333
0.0045,0.2608
0.006,0.2615
0.0075,0.2615
0.009,0.2615
0.0104,0.2615
0.0119,0.2615
0.0134,0.2623
0.0149,0.2942
0.0164,0.2942
0.0179,0.2942
0.0194,0.2942
0.0209,0.326
0.0224,0.3268
0.0239,0.3268
0.0254,0.3268
0.0269,0.3268
0.0284,0.3268
0.0299,0.3268
0.0313,0.3276
0.0328,0.3928
0.0343,0.3928
0.0358,0.3928
0.0373,0.3928
0.0388,0.4581
0.0403,0.4588
0.0418,0.4588
0.0433,0.4588
0.0448,0.4588
0.0463,0.4588
0.0478,0.4596
0.0493,0.4666
0.0507,0.4666
0.0522,0.4666
0.0537,0.4666
0.0552,0.4736
0.0567,0.4744
0.0582,0.4744
0.0597,0.4744
0.0612,0.4744
0.0627,0.4744
0.0642,0.4744
0.0657,0.4744
0.0672,0.4744
0.0687,0.4744
0.0701,0.4744
0.0716,0.4744
0.0731,0.4744
0.0746,0.4744
0.0761,0.4744
0.0776,0.4744
0.0791,0.4744
0.0806,0.4744
0.0821,0.4751
0.0836,0.507
0.0851,0.507
0.0866,0.507
0.0881,0.507
0.0896,0.5388
0.091,0.5396
0.0925,0.5396
0.094,0.5396
0.0955,0.5396
0.097,0.5396
0.0985,0.5396
0.1,0.5396
0.1015,0.5396
0.103,0.5396
0.1045,0.5396
0.106,0.5396
0.1075,0.5396
0.109,0.5396
0.1104,0.5396
0.1119,0.5396
0.1134,0.5396
0.1149,0.5396
0.1164,0.5404
0.1179,0.5482
0.1194,0.5482
0.1209,0.5482
0.1224,0.5482
0.1239,0.5559
0.1254,0.5567
0.1269,0.5567
0.1284,0.5567
0.1299,0.5567
0.1313,0.5567
0.1328,0.5575
0.1343,0.573
0.1358,0.573
0.1373,0.573
0.1388,0.573
0.1403,0.5885
0.1418,0.5893
0.1433,0.5893
0.1448,0.5893
0.1463,0.5893
0.1478,0.5893
0.1493,0.5901
0.1507,0.6142
0.1522,0.6142
0.1537,0.6142
0.1552,0.6142
0.1567,0.6383
0.1582,0.639
0.1597,0.639
0.1612,0.639
0.1627,0.639
0.1642,0.639
0.1657,0.639
0.1672,0.6398
0.1687,0.6468
0.1701,0.6468
0.1716,0.6468
0.1731,0.6468
0.1746,0.6538
0.1761,0.6546
0.1776,0.6546
0.1791,0.6546
0.1806,0.6546
0.1821,0.6546
0.1836,0.6546
0.1851,0.6546
0.1866,0.6546
0.1881,0.6546
0.1896,0.6546
0.191,0.6546
0.1925,0.6546
0.194,0.6546
0.1955,0.6546
0.197,0.6546
0.1985,0.6546
0.2,0.6553
0.2015,0.6709
0.203,0.6709
0.2045,0.6709
0.206,0.6709
0.2075,0.6864
0.209,0.6872
0.2104,0.6872
0.2119,0.6872
0.2134,0.6872
0.2149,0.6872
0.2164,0.6872
0.2179,0.688
0.2194,0.7206
0.2209,0.7206
0.2224,0.7206
0.2239,0.7206
0.2254,0.7532
0.2269,0.754
0.2284,0.754
0.2299,0.754
0.2313,0.754
0.2328,0.754
0.2343,0.754
0.2358,0.754
0.2373,0.754
0.2388,0.754
0.2403,0.754
0.2418,0.754
0.2433,0.754
0.2448,0.754
0.2463,0.754
0.2478,0.754
0.2493,0.754
0.2507,0.754
0.2522,0.7548
0.2537,0.8029
0.2552,0.8029
0.2567,0.8029
0.2582,0.8029
0.2597,0.8511
0.2612,0.8519
0.2627,0.8519
0.2642,0.8519
0.2657,0.8519
0.2672,0.8519
0.2687,0.8519
0.2701,0.8519
0.2716,0.8519
0.2731,0.8519
0.2746,0.8519
0.2761,0.8519
0.2776,0.8519
0.2791,0.8519
0.2806,0.8519
0.2821,0.8519
0.2836,0.8519
0.2851,0.8526
0.2866,0.8604
0.2881,0.8604
0.2896,0.8604
0.291,0.8604
0.2925,0.8682
0.294,0.869
0.2955,0.869
0.297,0.869
0.2985,0.869
0.3,0.869
0.3015,0.869
0.303,0.8697
0.3045,0.8767
0.306,0.8767
0.3075,0.8767
0.309,0.8767
0.3104,0.8837
0.3119,0.8845
0.3134,0.8845
0.3149,0.8845
0.3164,0.8845
0.3179,0.8845
0.3194,0.8853
0.3209,0.9008
0.3224,0.9008
0.3239,0.9008
0.3254,0.9008
0.3269,0.9163
0.3284,0.9171
0.3299,0.9171
0.3313,0.9171
0.3328,0.9171
0.3343,0.9171
0.3358,0.9179
0.3373,0.9257
0.3388,0.9257
0.3403,0.9257
0.3418,0.9257
0.3433,0.9334
0.3448,0.9342
0.3463,0.9342
0.3478,0.9342
0.3493,0.9342
0.3507,0.9342
0.3522,0.9342
0.3537,0.9342
0.3552,0.9342
0.3567,0.9342
0.3582,0.9342
0.3597,0.9342
0.3612,0.9342
0.3627,0.9342
0.3642,0.9342
0.3657,0.9342
0.3672,0.9342
0.3687,0.9342
0.3701,0.9342
0.3716,0.9342
0.3731,0.9342
0.3746,0.9342
0.3761,0.9342
0.3776,0.9342
0.3791,0.9342
0.3806,0.9342
0.3821,0.9342
0.3836,0.9342
0.3851,0.9342
0.3866,0.9342
0.3881,0.9342
0.3896,0.9342
0.391,0.9342
0.3925,0.9342
0.394,0.9342
0.3955,0.9342
0.397,0.9342
0.3985,0.9342
0.4,0.9342
0.4015,0.9342
0.403,0.9342
0.4045,0.935
0.406,0.942
0.4075,0.942
0.409,0.942
0.4104,0.942
0.4119,0.949
0.4134,0.9497
0.4149,0.9497
0.4164,0.9497
0.4179,0.9497
0.4194,0.9497
0.4209,0.9497
0.4224,0.9497
0.4239,0.9497
0.4254,0.9497
0.4269,0.9497
0.4284,0.9497
0.4299,0.9497
0.4313,0.9497
0.4328,0.9497
0.4343,0.9497
0.4358,0.9497
0.4373,0.9497
0.4388,0.9497
0.4403,0.9497
0.4418,0.9497
0.4433,0.9497
0.4448,0.9497
0.4463,0.9497
0.4478,0.9497
0.4493,0.9497
0.4507,0.9497
0.4522,0.9497
0.4537,0.9497
0.4552,0.9497
0.4567,0.9497
0.4582,0.9497
0.4597,0.9497
0.4612,0.9497
0.4627,0.9497
