epoch,loss
-0.17,0.7486
-0.08,0.7432
0.02,0.7372
0.11,0.7318
0.2,0.7264
0.3,0.7169
0.39,0.7061
0.48,0.6946
0.58,0.6831
0.67,0.6723
0.76,0.6615
0.86,0.6514
0.95,0.6412
1.04,0.6324
1.14,0.623
1.23,0.6142
1.32,0.6061
1.41,0.5986
1.51,0.5912
1.6,0.5838
1.69,0.5764
1.79,0.5689
1.88,0.5622
1.97,0.5554
2.07,0.5493
2.16,0.5419
2.25,0.5358
2.35,0.5291
2.44,0.5236
2.53,0.5176
2.63,0.5115
2.72,0.5061
2.81,0.5
2.91,0.4946
3.0,0.4899
3.09,0.4838
3.19,0.4791
3.28,0.4743
3.37,0.4689
3.47,0.4649
3.56,0.4608
3.65,0.4554
3.75,0.4514
3.84,0.4473
3.93,0.4419
4.03,0.4378
4.12,0.4331
4.21,0.4291
4.31,0.425
4.4,0.4209
4.49,0.4169
4.59,0.4128
4.68,0.4088
4.77,0.4047
4.87,0.4007
4.96,0.3959
5.05,0.3926
5.15,0.3885
5.24,0.3845
5.33,0.3818
5.43,0.3777
5.52,0.3736
5.61,0.3709
5.71,0.3669
5.8,0.3628
5.89,0.3601
5.99,0.3568
6.08,0.3527
6.17,0.35
6.27,0.3459
6.36,0.3432
6.45,0.3392
6.55,0.3365
6.64,0.3331
6.73,0.3297
6.83,0.327
6.92,0.3236
7.01,0.3209
7.11,0.3176
7.2,0.3149
7.29,0.3122
7.39,0.3095
7.48,0.3068
7.57,0.3041
7.67,0.3014
7.76,0.2986
7.85,0.2959
7.95,0.2932
8.04,0.2905
8.13,0.2878
8.23,0.2851
8.32,0.2824
8.41,0.2804
8.51,0.2777
8.6,0.275
8.69,0.2723
8.79,0.2696
8.88,0.2676
8.97,0.2649
9.06,0.2628
9.16,0.2601
9.25,0.2574
9.34,0.2547
9.44,0.252
9.53,0.2507
9.62,0.248
9.72,0.2453
9.81,0.2426
9.9,0.2405
10.0,0.2385
10.09,0.2358
10.18,0.2338
10.28,0.2311
10.37,0.2291
10.46,0.227
10.56,0.2243
10.65,0.2223
10.74,0.2203
10.84,0.2182
10.93,0.2162
11.02,0.2135
11.12,0.2122
11.21,0.2095
11.3,0.2074
11.4,0.2054
11.49,0.2041
11.58,0.2014
11.68,0.2
11.77,0.1973
11.86,0.1959
11.96,0.1939
12.05,0.1919
12.14,0.1899
12.24,0.1885
12.33,0.1858
12.42,0.1845
12.52,0.1831
12.61,0.1811
12.7,0.1791
12.8,0.1777
12.89,0.1764
12.98,0.1736
13.08,0.1723
13.17,0.1709
13.26,0.1682
13.36,0.1669
13.45,0.1655
13.54,0.1635
13.64,0.1615
13.73,0.1601
13.82,0.1588
13.92,0.1561
14.01,0.1547
14.1,0.1534
14.2,0.1514
14.29,0.15
14.38,0.1486
14.48,0.1466
14.57,0.1453
14.66,0.1439
14.76,0.1426
14.85,0.1405
14.94,0.1392
15.04,0.1378
15.13,0.1365
15.22,0.1351
15.32,0.1338
15.41,0.1324
15.5,0.1304
15.6,0.1291
15.69,0.127
15.78,0.1257
15.88,0.1243
15.97,0.123
16.06,0.1216
16.16,0.1203
16.25,0.1189
16.34,0.1176
16.43,0.1162
16.53,0.1149
16.62,0.1135
16.71,0.1122
16.81,0.1108
16.9,0.1095
16.99,0.1081
17.09,0.1068
17.18,0.1054
17.27,0.1047
17.37,0.1034
17.46,0.102
17.55,0.1007
17.65,0.1
17.74,0.0986
17.83,0.0973
17.93,0.0959
18.02,0.0953
18.11,0.0939
18.21,0.0926
18.3,0.0919
18.39,0.0912
18.49,0.0899
18.58,0.0885
18.67,0.0872
18.77,0.0872
18.86,0.0858
18.95,0.0845
19.05,0.0831
19.14,0.0831
19.23,0.0818
19.33,0.0804
19.42,0.0791
19.51,0.0791
19.61,0.0777
19.7,0.0764
19.79,0.075
19.89,0.075
19.98,0.0736
20.07,0.0723
20.17,0.0723
20.26,0.0709
20.35,0.0703
20.45,0.0696
20.54,0.0682
20.63,0.0676
20.73,0.0669
20.82,0.0655
20.91,0.0655
21.01,0.0642
21.1,0.0635
21.19,0.0628
21.29,0.0622
21.38,0.0615
21.47,0.0601
21.57,0.0595
21.66,0.0588
21.75,0.0581
21.85,0.0574
21.94,0.0561
22.03,0.0561
22.13,0.0547
22.22,0.0541
22.31,0.0534
22.41,0.0527
22.5,0.052
22.59,0.0514
22.69,0.0507
22.78,0.05
22.87,0.0493
22.97,0.0486
23.06,0.048
23.15,0.0473
23.25,0.0473
23.34,0.0459
23.43,0.0459
23.53,0.0453
23.62,0.0446
23.71,0.0439
23.8,0.0432
23.9,0.0426
23.99,0.0419
24.08,0.0419
24.18,0.0412
24.27,0.0405
24.36,0.0405
24.46,0.0392
24.55,0.0392
24.64,0.0385
24.74,0.0378
24.83,0.0378
24.92,0.0365
25.02,0.0365
25.11,0.0365
25.2,0.0351
25.3,0.0351
25.39,0.0351
25.48,0.0338
25.58,0.0338
25.67,0.0338
25.76,0.0331
25.86,0.0324
25.95,0.0324
26.04,0.0318
26.14,0.0311
26.23,0.0311
26.32,0.0311
26.42,0.0297
26.51,0.0297
26.6,0.0297
26.7,0.0297
26.79,0.0284
26.88,0.0284
26.98,0.0284
27.07,0.027
27.16,0.027
27.26,0.027
27.35,0.027
27.44,0.027
27.54,0.0257
27.63,0.0257
27.72,0.0257
27.82,0.0257
