series,time_s,value
std_accel_z,-0.106,-0.0058
std_accel_z,0.033,0.0116
std_accel_z,0.172,0.0116
std_accel_z,0.31,0.0116
std_accel_z,0.449,0.0116
std_accel_z,0.588,0.0116
std_accel_z,0.726,0.0116
std_accel_z,0.865,0.0116
std_accel_z,1.004,0.0116
std_accel_z,1.142,0.4565
std_accel_z,1.281,1.577
std_accel_z,1.42,2.7409
std_accel_z,1.558,2.5671
std_accel_z,1.697,2.4106
std_accel_z,1.836,2.4454
std_accel_z,1.974,2.3411
std_accel_z,2.113,2.2368
std_accel_z,2.252,2.2194
std_accel_z,2.39,2.1846
std_accel_z,2.529,2.0977
std_accel_z,2.668,2.1846
std_accel_z,2.806,2.2715
std_accel_z,2.945,2.0108
std_accel_z,3.084,2.0803
std_accel_z,3.222,2.1435
std_accel_z,3.361,2.3411
std_accel_z,3.5,2.5149
std_accel_z,3.638,2.6366
std_accel_z,3.777,2.6192
std_accel_z,3.916,2.6366
std_accel_z,4.054,2.654
std_accel_z,4.193,2.5497
std_accel_z,4.332,2.5671
std_accel_z,4.47,2.4975
std_accel_z,4.609,2.2715
std_accel_z,4.748,2.2715
std_accel_z,4.886,2.2889
std_accel_z,5.025,2.2368
std_accel_z,5.164,2.4106
std_accel_z,5.302,2.4106
std_accel_z,5.441,2.3411
std_accel_z,5.58,2.2889
std_accel_z,5.718,2.0977
std_accel_z,5.857,1.8891
std_accel_z,5.996,1.9239
std_accel_z,6.134,2.2715
std_accel_z,6.273,2.6018
std_accel_z,6.412,2.8974
std_accel_z,6.55,2.9495
std_accel_z,6.689,2.88
std_accel_z,6.828,2.8104
std_accel_z,6.967,2.5671
std_accel_z,7.105,2.4628
std_accel_z,7.244,2.2368
std_accel_z,7.383,2.0629
std_accel_z,7.521,1.9586
std_accel_z,7.66,2.2194
std_accel_z,7.799,2.3063
std_accel_z,7.937,2.349
std_accel_z,8.076,2.428
std_accel_z,8.215,2.4975
std_accel_z,8.353,2.3063
std_accel_z,8.492,2.4106
std_accel_z,8.631,2.4812
std_accel_z,8.769,2.5149
std_accel_z,8.908,2.5497
std_accel_z,9.047,2.3585
std_accel_z,9.185,2.1672
std_accel_z,9.324,1.9586
std_accel_z,9.463,1.9239
std_accel_z,9.601,2.0803
std_accel_z,9.74,2.2889
std_accel_z,9.879,2.3063
std_accel_z,10.017,2.1325
std_accel_z,10.156,2.1672
std_accel_z,10.295,2.3585
std_accel_z,10.433,2.3411
std_accel_z,10.572,2.5323
std_accel_z,10.711,2.5845
std_accel_z,10.849,2.4975
std_accel_z,10.988,2.3758
std_accel_z,11.127,2.4975
std_accel_z,11.265,2.4106
std_accel_z,11.404,2.4106
std_accel_z,11.543,2.6297
std_accel_z,11.681,2.7061
std_accel_z,11.82,2.88
std_accel_z,11.959,2.88
std_accel_z,12.097,2.7931
std_accel_z,12.236,2.3932
std_accel_z,12.375,2.4106
std_accel_z,12.513,2.4975
std_accel_z,12.652,2.5671
std_accel_z,12.791,2.7583
std_accel_z,12.929,2.7061
std_accel_z,13.068,2.6888
std_accel_z,13.207,2.8626
std_accel_z,13.345,3.0017
std_accel_z,13.484,2.9669
std_accel_z,13.623,2.9495
std_accel_z,13.761,2.9669
std_accel_z,13.9,2.9843
std_accel_z,14.039,3.1581
std_accel_z,14.177,3.2624
std_accel_z,14.732,3.2624
std_accel_z,14.871,3.2624
std_accel_z,15.009,3.2624
std_accel_z,15.148,3.2624
std_accel_z,15.287,3.2624
std_accel_z,15.425,3.2624
std_accel_z,15.564,3.2624
std_accel_z,15.703,3.2624
std_accel_z,15.841,3.2624
std_accel_z,15.98,3.2624
std_accel_z,16.119,3.697
std_accel_z,16.257,4.5141
std_accel_z,16.396,5.644
std_accel_z,16.535,5.3311
std_accel_z,16.673,5.0008
std_accel_z,16.812,4.1316
std_accel_z,16.951,3.0886
std_accel_z,17.089,1.6631
std_accel_z,17.228,1.8022
std_accel_z,17.367,2.2542
std_accel_z,17.505,3.2277
std_accel_z,17.644,3.5927
std_accel_z,17.783,3.8013
std_accel_z,17.921,3.5753
std_accel_z,18.06,3.9752
std_accel_z,18.199,3.9752
std_accel_z,18.337,4.2012
std_accel_z,18.476,4.5836
std_accel_z,18.615,5.4007
std_accel_z,18.753,5.5571
std_accel_z,18.892,5.2964
std_accel_z,19.031,4.7053
std_accel_z,19.169,4.0969
std_accel_z,19.308,3.0886
std_accel_z,19.447,2.6508
std_accel_z,19.585,2.5323
std_accel_z,19.724,3.0191
std_accel_z,19.863,3.6449
std_accel_z,20.001,3.9578
std_accel_z,20.14,4.3229
std_accel_z,20.279,4.4793
std_accel_z,20.417,4.4098
std_accel_z,20.556,4.3924
std_accel_z,20.695,5.4181
std_accel_z,20.833,6.1482
std_accel_z,20.972,6.322
std_accel_z,21.111,6.0265
std_accel_z,21.249,5.7657
std_accel_z,21.388,4.1316
std_accel_z,21.527,3.1276
std_accel_z,21.665,2.5323
std_accel_z,21.804,2.5149
std_accel_z,21.943,2.7931
std_accel_z,22.081,3.1755
std_accel_z,22.22,3.3667
std_accel_z,22.775,3.3667
std_accel_z,22.913,3.3667
std_accel_z,23.052,3.3667
std_accel_z,23.191,3.3667
std_accel_z,23.329,3.3667
std_accel_z,23.468,3.3667
std_accel_z,23.607,3.3667
std_accel_z,23.745,3.3667
