series,time_s,value
std_accel_z,-0.083,-0.0223
std_accel_z,-0.007,0.0225
std_accel_z,0.068,0.0225
std_accel_z,0.144,0.0225
std_accel_z,0.22,0.0225
std_accel_z,0.295,0.0225
std_accel_z,0.371,0.0225
std_accel_z,0.447,0.0225
std_accel_z,0.522,0.0225
std_accel_z,0.598,0.0225
std_accel_z,0.673,0.0225
std_accel_z,0.749,0.0225
std_accel_z,0.976,-0.0223
std_accel_z,1.052,0.0225
std_accel_z,1.127,0.0225
std_accel_z,1.203,0.0225
std_accel_z,1.278,0.0225
std_accel_z,1.354,0.0225
std_accel_z,1.43,0.0225
std_accel_z,1.505,0.0225
std_accel_z,1.581,0.0225
std_accel_z,1.657,0.0225
std_accel_z,1.732,0.0225
std_accel_z,1.808,0.0225
std_accel_z,1.883,0.0225
std_accel_z,1.959,0.0225
std_accel_z,2.035,0.0225
std_accel_z,2.11,0.0225
std_accel_z,2.186,1.4398
std_accel_z,2.262,2.7079
std_accel_z,2.337,3.2897
std_accel_z,2.413,2.9764
std_accel_z,2.489,2.9764
std_accel_z,2.564,2.7974
std_accel_z,2.64,2.3498
std_accel_z,2.715,2.4393
std_accel_z,2.791,2.9317
std_accel_z,2.867,3.0659
std_accel_z,2.942,3.0659
std_accel_z,3.018,3.0659
std_accel_z,3.094,2.6631
std_accel_z,3.169,2.126
std_accel_z,3.245,1.768
std_accel_z,3.32,1.7232
std_accel_z,3.396,1.3801
std_accel_z,3.472,0.7833
std_accel_z,3.547,1.0071
std_accel_z,3.623,1.8127
std_accel_z,3.699,2.2603
std_accel_z,3.774,2.6631
std_accel_z,3.85,2.9317
std_accel_z,3.925,2.9317
std_accel_z,4.001,2.7526
std_accel_z,4.077,2.4841
std_accel_z,4.152,2.3051
std_accel_z,4.228,2.126
std_accel_z,4.304,2.2603
std_accel_z,4.379,2.5736
std_accel_z,4.455,2.6184
std_accel_z,4.53,2.4393
std_accel_z,4.606,2.3946
std_accel_z,4.682,2.3051
std_accel_z,4.757,1.9023
std_accel_z,4.833,1.6337
std_accel_z,4.909,1.4994
std_accel_z,4.984,1.4099
std_accel_z,5.06,0.7833
std_accel_z,5.135,0.8728
std_accel_z,5.211,1.8575
std_accel_z,5.287,2.3498
std_accel_z,5.362,2.7526
std_accel_z,5.438,3.1107
std_accel_z,5.514,3.3792
std_accel_z,5.589,3.3345
std_accel_z,5.665,3.2002
std_accel_z,5.74,3.245
std_accel_z,5.816,3.0212
std_accel_z,5.892,2.8421
std_accel_z,5.967,3.0212
std_accel_z,6.043,2.9317
std_accel_z,6.119,2.7526
std_accel_z,6.194,2.5736
std_accel_z,6.27,2.3946
std_accel_z,6.345,2.3498
std_accel_z,6.421,1.947
std_accel_z,6.497,1.589
std_accel_z,6.572,1.4547
std_accel_z,6.648,1.3204
std_accel_z,6.724,1.3652
std_accel_z,6.799,1.5442
std_accel_z,6.875,2.0365
std_accel_z,6.95,2.6184
std_accel_z,7.026,3.1554
std_accel_z,7.102,3.2897
std_accel_z,7.177,3.3792
std_accel_z,7.253,3.2002
std_accel_z,7.329,2.7526
std_accel_z,7.404,2.5288
std_accel_z,7.48,2.5288
std_accel_z,7.555,2.4393
std_accel_z,7.631,2.7526
std_accel_z,7.707,3.2897
std_accel_z,7.782,3.3345
std_accel_z,7.858,3.245
std_accel_z,7.934,3.1107
std_accel_z,8.009,2.9764
std_accel_z,8.085,2.4393
std_accel_z,8.16,1.9023
std_accel_z,8.236,1.4994
std_accel_z,8.312,1.4547
std_accel_z,8.387,1.1414
std_accel_z,8.463,1.4248
std_accel_z,8.539,2.0883
std_accel_z,8.614,2.8869
std_accel_z,8.69,3.0659
std_accel_z,8.766,3.424
std_accel_z,8.841,3.6925
std_accel_z,8.917,3.603
std_accel_z,8.992,3.3792
std_accel_z,9.068,3.2897
std_accel_z,9.144,2.9764
std_accel_z,9.219,2.5736
std_accel_z,9.295,2.5736
std_accel_z,9.371,3.0212
std_accel_z,9.446,3.2002
std_accel_z,9.522,3.0659
std_accel_z,9.597,3.0659
std_accel_z,9.673,3.3345
std_accel_z,9.749,3.2897
std_accel_z,9.824,2.7974
std_accel_z,9.9,2.2603
std_accel_z,9.976,1.9023
std_accel_z,10.051,1.6337
std_accel_z,10.127,1.298
std_accel_z,10.202,1.768
std_accel_z,10.278,2.2155
std_accel_z,10.354,2.4841
std_accel_z,10.429,2.7079
std_accel_z,10.505,2.8421
std_accel_z,10.581,2.6631
std_accel_z,10.656,2.3498
std_accel_z,10.732,2.2155
std_accel_z,10.807,2.3946
std_accel_z,10.883,2.4393
std_accel_z,10.959,2.2155
std_accel_z,11.034,2.126
std_accel_z,11.11,2.6631
std_accel_z,11.186,3.245
std_accel_z,11.261,3.245
std_accel_z,11.337,3.1554
std_accel_z,11.412,3.2002
std_accel_z,11.488,2.7974
std_accel_z,11.564,2.126
std_accel_z,11.639,1.7232
std_accel_z,11.715,1.6337
std_accel_z,11.791,1.5442
std_accel_z,11.866,0.9624
std_accel_z,11.942,0.9624
std_accel_z,12.017,2.0365
std_accel_z,12.093,2.5288
std_accel_z,12.169,2.8421
std_accel_z,12.244,3.1107
std_accel_z,12.32,3.2002
std_accel_z,12.396,2.9317
std_accel_z,12.471,2.6631
std_accel_z,12.547,2.6631
std_accel_z,12.622,2.9317
std_accel_z,12.698,3.0659
std_accel_z,12.774,3.245
std_accel_z,12.849,3.4687
std_accel_z,12.925,3.603
std_accel_z,13.001,3.5135
std_accel_z,13.076,3.2002
std_accel_z,13.152,2.8421
std_accel_z,13.227,2.4841
std_accel_z,13.303,1.947
std_accel_z,13.379,1.4547
std_accel_z,13.454,1.1861
std_accel_z,13.53,1.1414
std_accel_z,13.606,1.3204
std_accel_z,13.681,1.5442
std_accel_z,13.757,1.9918
std_accel_z,13.832,2.5736
std_accel_z,13.908,3.0212
std_accel_z,13.984,3.2002
std_accel_z,14.059,3.424
std_accel_z,14.135,3.424
std_accel_z,14.211,3.0659
std_accel_z,14.286,2.8421
std_accel_z,14.362,2.7974
std_accel_z,14.437,2.8421
std_accel_z,14.513,2.9764
std_accel_z,14.589,3.245
std_accel_z,14.664,3.4687
std_accel_z,14.74,3.4687
std_accel_z,14.816,3.3345
std_accel_z,14.891,3.0659
std_accel_z,14.967,2.7079
std_accel_z,15.043,2.5288
std_accel_z,15.118,2.126
std_accel_z,15.194,1.7232
std_accel_z,15.269,1.5442
std_accel_z,15.345,1.5442
std_accel_z,15.421,1.5442
std_accel_z,15.496,1.3652
std_accel_z,15.723,1.768
std_accel_z,15.799,2.3498
std_accel_z,15.874,2.9317
std_accel_z,15.95,3.3345
std_accel_z,16.026,3.603
std_accel_z,16.101,3.8268
std_accel_z,16.177,3.7373
std_accel_z,16.253,3.424
std_accel_z,16.328,3.424
std_accel_z,16.404,3.6478
std_accel_z,16.479,3.6478
std_accel_z,16.555,3.4687
std_accel_z,16.631,3.6925
std_accel_z,16.706,3.9163
std_accel_z,16.782,3.782
std_accel_z,16.858,3.6925
std_accel_z,16.933,3.5135
std_accel_z,17.009,3.424
std_accel_z,17.084,3.2897
std_accel_z,17.16,2.8421
std_accel_z,17.236,2.4841
std_accel_z,17.311,2.3051
std_accel_z,17.387,2.2603
std_accel_z,17.463,2.2603
std_accel_z,17.538,2.2603
std_accel_z,17.614,2.1708
std_accel_z,17.689,1.4994
std_accel_z,17.765,0.6938
std_accel_z,17.841,0.112
std_accel_z,17.916,0.0672
std_accel_z,17.992,0.2015
std_accel_z,18.068,1.1861
std_accel_z,18.143,1.768
std_accel_z,18.219,2.3498
std_accel_z,18.294,2.4393
std_accel_z,18.37,2.4393
std_accel_z,18.446,2.3946
std_accel_z,18.521,2.1857
std_accel_z,18.597,1.7232
std_accel_z,18.673,1.6785
std_accel_z,18.748,2.3498
std_accel_z,18.824,2.4841
std_accel_z,18.899,2.3498
std_accel_z,18.975,2.3498
std_accel_z,19.051,2.3498
std_accel_z,19.126,2.1708
std_accel_z,19.202,1.6337
std_accel_z,19.278,1.5442
std_accel_z,19.353,1.4994
std_accel_z,19.429,1.4547
std_accel_z,19.504,1.0966
std_accel_z,19.58,0.7833
std_accel_z,19.656,1.0071
std_accel_z,19.731,1.8127
std_accel_z,19.807,2.6631
std_accel_z,19.883,2.7079
std_accel_z,19.958,2.7526
std_accel_z,20.034,2.9317
std_accel_z,20.109,2.5288
std_accel_z,20.185,2.126
std_accel_z,20.488,2.5288
std_accel_z,20.639,3.1554
std_accel_z,20.714,3.1554
std_accel_z,20.79,3.0659
std_accel_z,20.866,2.8869
std_accel_z,20.941,2.7974
std_accel_z,21.017,2.8421
std_accel_z,21.093,2.7974
std_accel_z,21.168,2.3946
std_accel_z,21.244,1.9918
std_accel_z,21.32,1.9023
std_accel_z,21.395,1.6337
std_accel_z,21.471,1.3204
std_accel_z,21.546,1.0966
std_accel_z,21.622,1.1414
std_accel_z,21.698,1.6785
std_accel_z,21.773,2.2155
std_accel_z,21.849,2.5288
std_accel_z,21.925,2.5736
std_accel_z,22.0,2.7974
std_accel_z,22.076,2.9764
std_accel_z,22.151,2.8421
std_accel_z,22.227,2.7974
std_accel_z,22.605,3.5135
std_accel_z,22.681,3.8268
std_accel_z,22.756,3.8716
std_accel_z,22.832,3.5583
std_accel_z,22.908,3.3792
std_accel_z,22.983,3.1107
std_accel_z,23.059,2.5736
std_accel_z,23.21,1.7232
std_accel_z,23.361,1.1414
std_accel_z,23.437,0.9176
std_accel_z,23.513,0.6043
std_accel_z,23.588,0.6043
std_accel_z,23.664,1.8575
std_accel_z,23.74,2.3051
std_accel_z,23.815,2.8421
std_accel_z,23.891,2.8869
std_accel_z,23.966,3.0212
std_accel_z,24.042,3.1554
std_accel_z,24.193,2.2155
std_accel_z,24.269,2.1708
std_accel_z,24.345,2.2603
std_accel_z,24.42,2.4393
std_accel_z,24.496,2.6184
std_accel_z,24.571,2.6631
std_accel_z,24.647,3.1554
std_accel_z,24.723,3.245
std_accel_z,24.798,2.9496
std_accel_z,24.874,2.6184
std_accel_z,24.95,2.3051
std_accel_z,25.025,1.8575
std_accel_z,25.101,1.4099
std_accel_z,25.176,0.8728
std_accel_z,25.252,0.6043
std_accel_z,25.403,1.8127
std_accel_z,25.479,1.9918
std_accel_z,25.555,1.9918
std_accel_z,25.63,1.8575
std_accel_z,25.706,1.589
std_accel_z,25.781,0.8878
std_accel_z,25.857,0.47
std_accel_z,25.933,0.2015
std_accel_z,26.008,0.0225
std_accel_z,26.084,0.0225
std_accel_z,26.16,0.0225
std_accel_z,26.235,0.1567
std_accel_z,26.311,0.47
std_accel_z,26.538,2.4841
std_accel_z,26.613,2.6184
std_accel_z,26.689,2.7526
std_accel_z,26.765,2.6631
std_accel_z,26.84,2.2603
std_accel_z,26.916,1.947
std_accel_z,26.991,2.2155
std_accel_z,27.067,2.7079
std_accel_z,27.143,3.2897
std_accel_z,27.218,3.2897
std_accel_z,27.37,3.2002
std_accel_z,27.445,3.1554
std_accel_z,27.521,3.0659
std_accel_z,27.672,1.4994
std_accel_z,27.748,1.5442
std_accel_z,27.823,1.4099
std_accel_z,27.899,1.0966
std_accel_z,27.975,1.1861
std_accel_z,28.05,1.4099
std_accel_z,28.202,2.7079
std_accel_z,28.277,3.1554
