time_s,row,state
-0.013,Stuck,1
0.128,Stuck,0
0.27,Stuck,0
0.411,Stuck,0
0.553,Stuck,0
0.695,Stuck,0
0.836,Stuck,0
0.978,Stuck,0
1.119,Stuck,0
1.261,Stuck,0
1.403,Stuck,0
1.544,Stuck,0
1.686,Stuck,0
1.828,Stuck,0
1.969,Stuck,0
2.111,Stuck,0
2.252,Stuck,0
2.394,Stuck,0
2.536,Stuck,0
2.677,Stuck,0
2.819,Stuck,0
2.96,Stuck,0
3.102,Stuck,0
3.244,Stuck,0
3.385,Stuck,0
3.527,Stuck,0
3.669,Stuck,0
3.81,Stuck,0
3.952,Stuck,0
4.093,Stuck,0
4.235,Stuck,0
4.377,Stuck,0
4.518,Stuck,0
4.66,Stuck,0
4.801,Stuck,0
4.943,Stuck,0
5.085,Stuck,0
5.226,Stuck,0
5.368,Stuck,0
5.51,Stuck,0
5.651,Stuck,0
5.793,Stuck,0
5.934,Stuck,0
6.076,Stuck,0
6.218,Stuck,0
6.359,Stuck,0
6.501,Stuck,0
6.642,Stuck,0
6.784,Stuck,0
6.926,Stuck,0
7.067,Stuck,0
7.209,Stuck,0
7.351,Stuck,0
7.492,Stuck,0
7.634,Stuck,0
7.775,Stuck,0
7.917,Stuck,0
8.059,Stuck,0
8.2,Stuck,0
8.342,Stuck,0
8.483,Stuck,0
8.625,Stuck,0
8.767,Stuck,0
8.908,Stuck,0
9.05,Stuck,0
9.191,Stuck,0
9.333,Stuck,0
9.475,Stuck,0
9.616,Stuck,0
9.758,Stuck,0
9.9,Stuck,0
10.041,Stuck,0
10.183,Stuck,0
10.324,Stuck,0
10.466,Stuck,0
10.608,Stuck,0
10.749,Stuck,0
10.891,Stuck,0
11.032,Stuck,0
11.174,Stuck,0
11.316,Stuck,0
11.457,Stuck,0
11.599,Stuck,0
11.741,Stuck,0
11.882,Stuck,0
12.024,Stuck,0
12.165,Stuck,0
12.307,Stuck,0
12.449,Stuck,0
12.59,Stuck,0
12.732,Stuck,0
12.873,Stuck,0
13.015,Stuck,0
13.157,Stuck,0
13.298,Stuck,0
13.44,Stuck,0
13.582,Stuck,0
13.723,Stuck,0
13.865,Stuck,0
14.006,Stuck,0
14.148,Stuck,0
14.29,Stuck,0
14.431,Stuck,0
14.573,Stuck,0
14.714,Stuck,0
14.856,Stuck,0
14.998,Stuck,0
15.139,Stuck,0
15.281,Stuck,0
15.423,Stuck,0
15.564,Stuck,0
15.706,Stuck,0
15.847,Stuck,0
15.989,Stuck,0
16.131,Stuck,0
16.272,Stuck,0
16.414,Stuck,0
16.555,Stuck,0
16.697,Stuck,0
16.839,Stuck,0
16.98,Stuck,0
17.122,Stuck,0
17.264,Stuck,0
17.405,Stuck,0
17.547,Stuck,0
17.688,Stuck,0
17.83,Stuck,0
17.972,Stuck,0
18.113,Stuck,0
18.255,Stuck,0
18.396,Stuck,0
18.538,Stuck,0
18.68,Stuck,0
18.821,Stuck,0
18.963,Stuck,0
19.104,Stuck,0
19.246,Stuck,0
19.388,Stuck,0
19.529,Stuck,0
19.671,Stuck,0
19.813,Stuck,0
19.954,Stuck,0
20.096,Stuck,0
20.237,Stuck,0
20.379,Stuck,0
20.521,Stuck,0
20.662,Stuck,0
20.804,Stuck,0
20.945,Stuck,0
21.087,Stuck,0
21.229,Stuck,0
21.37,Stuck,0
21.512,Stuck,0
21.654,Stuck,0
21.795,Stuck,0
21.937,Stuck,0
22.078,Stuck,0
22.22,Stuck,0
22.362,Stuck,0
22.503,Stuck,0
22.645,Stuck,0
22.786,Stuck,0
22.928,Stuck,0
23.07,Stuck,0
23.211,Stuck,0
23.353,Stuck,0
23.495,Stuck,0
23.636,Stuck,0
23.778,Stuck,0
23.919,Stuck,0
24.061,Stuck,0
24.203,Stuck,0
24.344,Stuck,0
24.486,Stuck,0
24.627,Stuck,0
24.769,Stuck,0
24.911,Stuck,0
25.052,Stuck,0
25.194,Stuck,0
25.336,Stuck,0
25.477,Stuck,0
25.619,Stuck,0
25.76,Stuck,0
25.902,Stuck,0
26.044,Stuck,0
26.185,Stuck,0
26.327,Stuck,0
26.468,Stuck,0
26.61,Stuck,0
26.752,Stuck,0
26.893,Stuck,0
27.035,Stuck,0
27.177,Stuck,0
27.318,Stuck,0
27.46,Stuck,0
27.601,Stuck,0
27.743,Stuck,0
27.885,Stuck,0
28.026,Stuck,0
28.168,Stuck,0
28.309,Stuck,0
28.451,Stuck,0
28.593,Stuck,0
28.734,Stuck,0
28.876,Stuck,0
29.017,Stuck,0
29.159,Stuck,0
29.301,Stuck,0
29.442,Stuck,0
29.584,Stuck,0
29.726,Stuck,0
29.867,Stuck,0
30.009,Stuck,0
30.15,Stuck,0
30.292,Stuck,0
30.434,Stuck,0
30.575,Stuck,0
30.717,Stuck,0
30.858,Stuck,0
31.0,Stuck,0
31.142,Stuck,0
31.283,Stuck,0
31.425,Stuck,0
31.567,Stuck,0
31.708,Stuck,0
31.85,Stuck,0
31.991,Stuck,0
32.133,Stuck,0
32.275,Stuck,0
32.416,Stuck,0
32.558,Stuck,0
32.699,Stuck,0
32.841,Stuck,0
32.983,Stuck,0
33.124,Stuck,0
33.266,Stuck,0
33.408,Stuck,0
33.549,Stuck,0
33.691,Stuck,0
33.832,Stuck,0
33.974,Stuck,0
34.116,Stuck,0
34.257,Stuck,0
34.399,Stuck,0
34.54,Stuck,0
34.682,Stuck,0
34.824,Stuck,0
34.965,Stuck,0
35.107,Stuck,0
35.249,Stuck,0
35.39,Stuck,0
35.532,Stuck,0
35.673,Stuck,0
35.815,Stuck,0
35.957,Stuck,0
36.098,Stuck,0
36.24,Stuck,0
36.381,Stuck,0
36.523,Stuck,0
36.665,Stuck,0
36.806,Stuck,0
36.948,Stuck,0
37.09,Stuck,0
37.231,Stuck,0
37.373,Stuck,0
37.514,Stuck,0
37.656,Stuck,0
37.798,Stuck,0
37.939,Stuck,0
38.081,Stuck,0
38.222,Stuck,0
38.364,Stuck,0
38.506,Stuck,0
38.647,Stuck,0
38.789,Stuck,0
38.93,Stuck,0
39.072,Stuck,0
39.214,Stuck,0
39.355,Stuck,0
39.497,Stuck,0
39.639,Stuck,0
39.78,Stuck,0
39.922,Stuck,0
40.063,Stuck,0
40.205,Stuck,0
40.347,Stuck,0
40.488,Stuck,0
40.63,Stuck,0
40.771,Stuck,0
40.913,Stuck,0
41.055,Stuck,0
41.196,Stuck,0
41.338,Stuck,0
41.48,Stuck,0
41.621,Stuck,0
41.763,Stuck,0
41.904,Stuck,0
42.046,Stuck,0
42.188,Stuck,0
42.329,Stuck,0
42.471,Stuck,0
42.612,Stuck,0
42.754,Stuck,0
42.896,Stuck,0
43.037,Stuck,0
43.179,Stuck,0
43.321,Stuck,0
43.462,Stuck,0
43.604,Stuck,0
43.745,Stuck,0
43.887,Stuck,0
44.029,Stuck,0
44.17,Stuck,0
44.312,Stuck,0
44.453,Stuck,0
44.595,Stuck,0
44.737,Stuck,0
44.878,Stuck,0
45.02,Stuck,1
45.162,Stuck,1
45.303,Stuck,1
45.445,Stuck,1
45.586,Stuck,1
45.728,Stuck,1
45.87,Stuck,1
46.011,Stuck,1
46.153,Stuck,1
46.294,Stuck,1
46.436,Stuck,1
46.578,Stuck,1
46.719,Stuck,1
46.861,Stuck,1
47.002,Stuck,1
47.144,Stuck,1
47.286,Stuck,1
47.427,Stuck,1
47.569,Stuck,1
47.711,Stuck,1
47.852,Stuck,1
47.994,Stuck,1
48.135,Stuck,1
48.277,Stuck,1
48.419,Stuck,1
48.56,Stuck,1
48.702,Stuck,1
48.843,Stuck,0
48.985,Stuck,0
49.127,Stuck,0
49.268,Stuck,0
49.41,Stuck,0
49.552,Stuck,0
49.693,Stuck,0
49.835,Stuck,0
49.976,Stuck,0
50.118,Stuck,1
50.26,Stuck,1
50.401,Stuck,1
50.543,Stuck,1
50.684,Stuck,1
50.826,Stuck,1
50.968,Stuck,1
