panel,neuron,time_s,activation_normalized
BasalGanglia_GPi,R,0.0,1.0
BasalGanglia_GPi,R,0.131,0.0549
BasalGanglia_GPi,R,0.263,0.0
BasalGanglia_GPi,R,0.394,0.0
BasalGanglia_GPi,R,0.525,0.0
BasalGanglia_GPi,R,0.656,0.0
BasalGanglia_GPi,R,0.788,0.0
BasalGanglia_GPi,R,0.919,0.0
BasalGanglia_GPi,R,1.05,0.0
BasalGanglia_GPi,R,1.182,0.0
BasalGanglia_GPi,R,1.313,0.0
BasalGanglia_GPi,R,1.444,0.0
BasalGanglia_GPi,R,1.575,0.0
BasalGanglia_GPi,R,1.707,0.0
BasalGanglia_GPi,R,1.838,0.0745
BasalGanglia_GPi,R,1.969,0.0863
BasalGanglia_GPi,R,2.101,0.0941
BasalGanglia_GPi,R,2.232,0.102
BasalGanglia_GPi,R,2.363,0.1059
BasalGanglia_GPi,R,2.495,0.1059
BasalGanglia_GPi,R,2.626,0.1059
BasalGanglia_GPi,R,2.757,0.1059
BasalGanglia_GPi,R,2.888,0.1098
BasalGanglia_GPi,R,3.02,0.1098
BasalGanglia_GPi,R,3.151,0.1098
BasalGanglia_GPi,R,3.282,0.1098
BasalGanglia_GPi,R,3.414,0.1098
BasalGanglia_GPi,R,3.545,0.1137
BasalGanglia_GPi,R,3.676,0.1137
BasalGanglia_GPi,R,3.807,0.1137
BasalGanglia_GPi,R,3.939,0.1176
BasalGanglia_GPi,R,4.07,0.1176
BasalGanglia_GPi,R,4.201,0.1216
BasalGanglia_GPi,R,4.333,0.1137
BasalGanglia_GPi,R,4.464,0.1333
BasalGanglia_GPi,R,4.595,0.1569
BasalGanglia_GPi,R,4.726,0.1725
BasalGanglia_GPi,R,4.858,0.1882
BasalGanglia_GPi,R,4.989,0.1843
BasalGanglia_GPi,R,5.12,0.1765
BasalGanglia_GPi,R,5.252,0.1529
BasalGanglia_GPi,R,5.383,0.1451
BasalGanglia_GPi,R,5.514,0.1333
BasalGanglia_GPi,R,5.646,0.1176
BasalGanglia_GPi,R,5.777,0.1137
BasalGanglia_GPi,R,5.908,0.1059
BasalGanglia_GPi,R,6.039,0.098
