panel,neuron,time_s,activation_normalized
BasalGanglia_GPi,R,0.0,1.0
BasalGanglia_GPi,R,0.121,0.0549
BasalGanglia_GPi,R,0.242,0.0
BasalGanglia_GPi,R,0.363,0.0
BasalGanglia_GPi,R,0.484,0.0
BasalGanglia_GPi,R,0.605,0.0
BasalGanglia_GPi,R,0.726,0.0
BasalGanglia_GPi,R,0.847,0.0
BasalGanglia_GPi,R,0.968,0.0
BasalGanglia_GPi,R,1.089,0.0
BasalGanglia_GPi,R,1.21,0.0
BasalGanglia_GPi,R,1.331,0.0
BasalGanglia_GPi,R,1.452,0.0
BasalGanglia_GPi,R,1.573,0.0
BasalGanglia_GPi,R,1.694,0.0
BasalGanglia_GPi,R,1.815,0.0
BasalGanglia_GPi,R,1.935,0.0
BasalGanglia_GPi,R,2.056,0.0
BasalGanglia_GPi,R,2.177,0.0
BasalGanglia_GPi,R,2.298,0.0
BasalGanglia_GPi,R,2.419,0.0
BasalGanglia_GPi,R,2.54,0.0
BasalGanglia_GPi,R,2.661,0.0
BasalGanglia_GPi,R,2.782,0.0
BasalGanglia_GPi,R,2.903,0.0
BasalGanglia_GPi,R,3.024,0.0
BasalGanglia_GPi,R,3.145,0.0
BasalGanglia_GPi,R,3.266,0.0
BasalGanglia_GPi,R,3.387,0.0
BasalGanglia_GPi,R,3.508,0.0
BasalGanglia_GPi,R,3.629,0.0
BasalGanglia_GPi,R,3.75,0.0
BasalGanglia_GPi,R,3.871,0.0
BasalGanglia_GPi,R,3.992,0.0
BasalGanglia_GPi,R,4.113,0.0
BasalGanglia_GPi,R,4.234,0.0
BasalGanglia_GPi,R,4.355,0.0
BasalGanglia_GPi,R,4.476,0.0
BasalGanglia_GPi,R,4.597,0.0
BasalGanglia_GPi,R,4.718,0.0
BasalGanglia_GPi,R,4.839,0.0
BasalGanglia_GPi,R,4.96,0.0
BasalGanglia_GPi,R,5.081,0.0
BasalGanglia_GPi,R,5.202,0.0
BasalGanglia_GPi,R,5.323,0.0
BasalGanglia_GPi,R,5.444,0.0
BasalGanglia_GPi,R,5.565,0.0
BasalGanglia_GPi,R,5.685,0.0
BasalGanglia_GPi,R,5.806,0.0
BasalGanglia_GPi,R,5.927,0.0
BasalGanglia_GPi,R,6.048,0.0
BasalGanglia_GPi,R,6.169,0.0
BasalGanglia_GPi,R,6.29,0.0
BasalGanglia_GPi,R,6.411,0.0
BasalGanglia_GPi,R,6.532,0.0
BasalGanglia_GPi,R,6.653,0.0
BasalGanglia_GPi,R,6.774,0.0
BasalGanglia_GPi,R,6.895,0.0
BasalGanglia_GPi,R,7.016,0.0
BasalGanglia_GPi,R,7.137,0.0
BasalGanglia_GPi,R,7.258,0.0
BasalGanglia_GPi,R,7.379,0.0
BasalGanglia_GPi,R,7.5,0.0
BasalGanglia_GPi,R,7.621,0.0
BasalGanglia_GPi,R,7.742,0.0
BasalGanglia_GPi,R,7.863,0.0
BasalGanglia_GPi,R,7.984,0.0
BasalGanglia_GPi,R,8.105,0.0
BasalGanglia_GPi,R,8.226,0.0
BasalGanglia_GPi,R,8.347,0.0
BasalGanglia_GPi,R,8.468,0.0
BasalGanglia_GPi,R,8.589,0.0
BasalGanglia_GPi,R,8.71,0.0
BasalGanglia_GPi,R,8.831,0.0
BasalGanglia_GPi,R,8.952,0.0
BasalGanglia_GPi,R,9.073,0.0
BasalGanglia_GPi,R,9.194,0.0
BasalGanglia_GPi,R,9.315,0.0
BasalGanglia_GPi,R,9.435,0.0
BasalGanglia_GPi,R,9.556,0.0
BasalGanglia_GPi,R,9.677,0.0
BasalGanglia_GPi,R,9.798,0.0
BasalGanglia_GPi,R,9.919,0.0
BasalGanglia_GPi,R,10.04,0.0
BasalGanglia_GPi,R,10.161,0.0
BasalGanglia_GPi,R,10.282,0.0
BasalGanglia_GPi,R,10.403,0.0
BasalGanglia_GPi,R,10.524,0.0
BasalGanglia_GPi,R,10.645,0.0
BasalGanglia_GPi,R,10.766,0.0
