panel,neuron,time_s,activation_normalized
Locomotion_1,X3,0.0,1.0
Locomotion_1,X3,0.102,0.0549
Locomotion_1,X3,0.204,0.0
Locomotion_1,X3,0.306,0.0
Locomotion_1,X3,0.407,0.0039
Locomotion_1,X3,0.509,0.0118
Locomotion_1,X3,0.611,0.0157
Locomotion_1,X3,0.713,0.0196
Locomotion_1,X3,0.815,0.0196
Locomotion_1,X3,0.917,0.0196
Locomotion_1,X3,1.019,0.0196
Locomotion_1,X3,1.121,0.0196
Locomotion_1,X3,1.222,0.0196
Locomotion_1,X3,1.324,0.0196
Locomotion_1,X3,1.426,0.0196
Locomotion_1,X3,1.528,0.0157
Locomotion_1,X3,1.63,0.0157
Locomotion_1,X3,1.732,0.0157
Locomotion_1,X3,1.834,0.0157
Locomotion_1,X3,1.935,0.0157
Locomotion_1,X3,2.037,0.0157
Locomotion_1,X3,2.139,0.0157
Locomotion_1,X3,2.241,0.0196
Locomotion_1,X3,2.343,0.0196
Locomotion_1,X3,2.445,0.0235
Locomotion_1,X3,2.547,0.0275
Locomotion_1,X3,2.649,0.0353
Locomotion_1,X3,2.75,0.0431
Locomotion_1,X3,2.852,0.0471
Locomotion_1,X3,2.954,0.051
Locomotion_1,X3,3.056,0.0549
Locomotion_1,X3,3.158,0.0588
Locomotion_1,X3,3.26,0.0627
Locomotion_1,X3,3.362,0.0667
Locomotion_1,X3,3.463,0.0706
Locomotion_1,X3,3.565,0.0784
Locomotion_1,X3,3.667,0.0824
Locomotion_1,X3,3.769,0.0902
Locomotion_1,X3,3.871,0.098
Locomotion_1,X3,3.973,0.1059
Locomotion_1,X3,4.075,0.1137
Locomotion_1,X3,4.177,0.1216
Locomotion_1,X3,4.278,0.1255
Locomotion_1,X3,4.38,0.1294
Locomotion_1,X3,4.482,0.1373
Locomotion_1,X3,4.584,0.1412
Locomotion_1,X3,4.686,0.149
Locomotion_1,X3,4.788,0.1529
Locomotion_1,X3,4.89,0.1569
Locomotion_1,X3,4.992,0.1647
Locomotion_1,X3,5.093,0.1725
Locomotion_1,X3,5.195,0.1725
Locomotion_1,X3,5.297,0.1765
Locomotion_1,X3,5.399,0.1843
Locomotion_1,X3,5.501,0.1882
Locomotion_1,X3,5.603,0.1922
Locomotion_1,X3,5.705,0.1961
Locomotion_1,X3,5.806,0.2039
Locomotion_1,X3,5.908,0.2078
Locomotion_1,X3,6.01,0.2118
Locomotion_1,X3,6.112,0.2157
Locomotion_1,X3,6.214,0.2235
Locomotion_1,X3,6.316,0.2275
Locomotion_1,X3,6.418,0.2353
Locomotion_1,X3,6.52,0.2392
Locomotion_1,X3,6.621,0.2431
Locomotion_1,X3,6.723,0.2471
Locomotion_1,X3,6.825,0.251
Locomotion_1,X3,6.927,0.2549
Locomotion_1,X3,7.029,0.2588
Locomotion_1,X3,7.131,0.2627
Locomotion_1,X3,7.233,0.2667
Locomotion_1,X3,7.334,0.2667
Locomotion_1,X3,7.436,0.2667
Locomotion_1,X3,7.538,0.2667
Locomotion_1,X3,7.64,0.2667
Locomotion_1,X3,7.742,0.2667
Locomotion_1,X3,7.844,0.2667
Locomotion_1,X3,7.946,0.2627
Locomotion_1,X3,8.048,0.2627
Locomotion_1,X3,8.149,0.2627
Locomotion_1,X3,8.251,0.2627
Locomotion_1,X3,8.353,0.2588
Locomotion_1,X3,8.455,0.2588
Locomotion_1,X3,8.557,0.2588
Locomotion_1,X3,8.659,0.2588
Locomotion_1,X3,8.761,0.2549
Locomotion_1,X3,8.862,0.2549
Locomotion_1,X3,8.964,0.2549
Locomotion_1,X3,9.066,0.2549
Locomotion_1,X3,9.168,0.251
Locomotion_1,X3,9.27,0.251
Locomotion_1,X3,9.372,0.2471
Locomotion_1,X3,9.474,0.2471
Locomotion_1,X3,9.576,0.2471
Locomotion_1,X3,9.677,0.2471
Locomotion_1,X3,9.779,0.2471
Locomotion_1,X3,9.881,0.2471
Locomotion_1,X3,9.983,0.2431
Locomotion_1,X3,10.085,0.2431
Locomotion_1,X3,10.187,0.2431
Locomotion_1,X3,10.289,0.2431
Locomotion_1,X3,10.39,0.2431
Locomotion_1,X3,10.492,0.2431
Locomotion_1,X3,10.594,0.2431
Locomotion_1,X3,10.696,0.2392
Locomotion_1,X3,10.798,0.2392
Locomotion_1,X3,10.9,0.2392
Locomotion_1,X3,11.002,0.2392
Locomotion_1,X3,11.104,0.2392
Locomotion_1,X3,11.205,0.2353
Locomotion_1,X3,11.307,0.2353
Locomotion_1,X3,11.409,0.2353
Locomotion_1,X3,11.511,0.2353
Locomotion_1,X3,11.613,0.2353
Locomotion_1,X3,11.715,0.2353
Locomotion_1,X3,11.817,0.2353
Locomotion_1,X3,11.919,0.2353
Locomotion_1,X3,12.02,0.2353
Locomotion_1,X3,12.122,0.2275
Locomotion_1,X3,12.224,0.2275
Locomotion_1,X3,12.326,0.2275
Locomotion_1,X3,12.428,0.2275
Locomotion_1,X3,12.53,0.2235
Locomotion_1,X3,12.632,0.2235
Locomotion_1,X3,12.733,0.2235
Locomotion_1,X3,12.835,0.2235
