panel,neuron,time_s,activation_normalized
Lidar,L0,0.0,1.0
Lidar,L0,0.038,0.0549
Lidar,L0,0.077,0.0
Lidar,L0,0.115,0.0
Lidar,L0,0.153,0.0
Lidar,L0,0.192,0.0
Lidar,L0,0.23,0.0
Lidar,L0,0.268,0.0
Lidar,L0,0.307,0.0
Lidar,L0,0.345,0.0
Lidar,L0,0.383,0.0
Lidar,L0,0.421,0.0
Lidar,L0,0.46,0.0
Lidar,L0,0.498,0.0
Lidar,L0,0.536,0.0
Lidar,L0,0.575,0.0
Lidar,L0,0.613,0.0
Lidar,L0,0.651,0.0
Lidar,L0,0.69,0.0
Lidar,L0,0.728,0.0
Lidar,L0,0.766,0.0
Lidar,L0,0.805,0.0
Lidar,L0,0.843,0.0
Lidar,L0,0.881,0.0
Lidar,L0,0.92,0.0
Lidar,L0,0.958,0.0
Lidar,L0,0.996,0.0
Lidar,L0,1.034,0.0
Lidar,L0,1.073,0.0
Lidar,L0,1.111,0.0
Lidar,L0,1.149,0.0
Lidar,L0,1.188,0.0
Lidar,L0,1.226,0.0
Lidar,L0,1.264,0.0
Lidar,L0,1.303,0.0
Lidar,L0,1.341,0.0
Lidar,L0,1.379,0.0
Lidar,L0,1.418,0.0
Lidar,L0,1.456,0.0
Lidar,L0,1.494,0.0
Lidar,L0,1.533,0.0
Lidar,L0,1.571,0.0
Lidar,L0,1.609,0.0706
Lidar,L0,1.648,0.0706
Lidar,L0,1.686,0.1373
Lidar,L0,1.724,0.1373
Lidar,L0,1.762,0.1373
Lidar,L0,1.801,0.1961
Lidar,L0,1.839,0.1961
Lidar,L0,1.877,0.2431
Lidar,L0,1.916,0.2431
Lidar,L0,1.954,0.2431
Lidar,L0,1.992,0.2824
Lidar,L0,2.031,0.2824
Lidar,L0,2.069,0.2824
Lidar,L0,2.107,0.3176
Lidar,L0,2.146,0.3176
Lidar,L0,2.184,0.3451
Lidar,L0,2.222,0.3451
Lidar,L0,2.261,0.3451
Lidar,L0,2.299,0.3725
Lidar,L0,2.337,0.3725
Lidar,L0,2.375,0.3961
Lidar,L0,2.414,0.3961
Lidar,L0,2.452,0.3961
Lidar,L0,2.49,0.4157
Lidar,L0,2.529,0.4157
Lidar,L0,2.567,0.4157
Lidar,L0,2.605,0.4431
Lidar,L0,2.644,0.4431
Lidar,L0,2.682,0.4706
Lidar,L0,2.72,0.4706
Lidar,L0,2.759,0.4706
Lidar,L0,2.797,0.4941
Lidar,L0,2.835,0.4941
Lidar,L0,2.874,0.5137
Lidar,L0,2.912,0.5137
Lidar,L0,2.95,0.5137
Lidar,L0,2.989,0.5333
Lidar,L0,3.027,0.5333
Lidar,L0,3.065,0.5333
Lidar,L0,3.103,0.5529
Lidar,L0,3.142,0.5529
Lidar,L0,3.18,0.5647
Lidar,L0,3.218,0.5647
Lidar,L0,3.257,0.5647
Lidar,L0,3.295,0.5882
Lidar,L0,3.333,0.5882
Lidar,L0,3.372,0.6078
Lidar,L0,3.41,0.6078
Lidar,L0,3.448,0.6078
Lidar,L0,3.487,0.6196
Lidar,L0,3.525,0.6196
Lidar,L0,3.563,0.6196
Lidar,L0,3.602,0.6275
Lidar,L0,3.64,0.6275
Lidar,L0,3.678,0.6353
Lidar,L0,3.716,0.6353
Lidar,L0,3.755,0.6353
Lidar,L0,3.793,0.6392
Lidar,L0,3.831,0.6392
Lidar,L0,3.87,0.651
Lidar,L0,3.908,0.651
Lidar,L0,3.946,0.651
Lidar,L0,3.985,0.651
