panel,neuron,time_s,activation_normalized
Locomotion_1,X3,0.0,1.0
Locomotion_1,X3,0.133,0.0549
Locomotion_1,X3,0.265,0.0
Locomotion_1,X3,0.398,0.0
Locomotion_1,X3,0.531,0.0
Locomotion_1,X3,0.664,0.0
Locomotion_1,X3,0.796,0.0
Locomotion_1,X3,0.929,0.0
Locomotion_1,X3,1.062,0.0
Locomotion_1,X3,1.195,0.0
Locomotion_1,X3,1.327,0.0
Locomotion_1,X3,1.46,0.0
Locomotion_1,X3,1.593,0.0
Locomotion_1,X3,1.726,0.0
Locomotion_1,X3,1.858,0.0
Locomotion_1,X3,1.991,0.0
Locomotion_1,X3,2.124,0.0
Locomotion_1,X3,2.257,0.0
Locomotion_1,X3,2.389,0.0
Locomotion_1,X3,2.522,0.0
Locomotion_1,X3,2.655,0.0
Locomotion_1,X3,2.788,0.0
Locomotion_1,X3,2.92,0.0
Locomotion_1,X3,3.053,0.0
Locomotion_1,X3,3.186,0.0
Locomotion_1,X3,3.319,0.0
Locomotion_1,X3,3.451,0.0
Locomotion_1,X3,3.584,0.0
Locomotion_1,X3,3.717,0.0
Locomotion_1,X3,3.85,0.0
Locomotion_1,X3,3.982,0.0
Locomotion_1,X3,4.115,0.0
Locomotion_1,X3,4.248,0.0
Locomotion_1,X3,4.381,0.0
Locomotion_1,X3,4.513,0.0
Locomotion_1,X3,4.646,0.0
Locomotion_1,X3,4.779,0.0
Locomotion_1,X3,4.912,0.0
Locomotion_1,X3,5.044,0.0
Locomotion_1,X3,5.177,0.0
Locomotion_1,X3,5.31,0.0
Locomotion_1,X3,5.442,0.0
Locomotion_1,X3,5.575,0.0
Locomotion_1,X3,5.708,0.0
Locomotion_1,X3,5.841,0.0
Locomotion_1,X3,5.973,0.0
Locomotion_1,X3,6.106,0.0
Locomotion_1,X3,6.239,0.0
Locomotion_1,X3,6.372,0.0
Locomotion_1,X3,6.504,0.0
Locomotion_1,X3,6.637,0.0
Locomotion_1,X3,6.77,0.0
Locomotion_1,X3,6.903,0.0
Locomotion_1,X3,7.035,0.0
Locomotion_1,X3,7.168,0.0
Locomotion_1,X3,7.301,0.0
Locomotion_1,X3,7.434,0.0
Locomotion_1,X3,7.566,0.0
Locomotion_1,X3,7.699,0.0
Locomotion_1,X3,7.832,0.0
Locomotion_1,X3,7.965,0.0
Locomotion_1,X3,8.097,0.0
Locomotion_1,X3,8.23,0.0
Locomotion_1,X3,8.363,0.0
Locomotion_1,X3,8.496,0.0
Locomotion_1,X3,8.628,0.0
Locomotion_1,X3,8.761,0.0
Locomotion_1,X3,8.894,0.0
Locomotion_1,X3,9.027,0.0
Locomotion_1,X3,9.159,0.0
Locomotion_1,X3,9.292,0.0
Locomotion_1,X3,9.425,0.0
Locomotion_1,X3,9.558,0.0
Locomotion_1,X3,9.69,0.0
Locomotion_1,X3,9.823,0.0
Locomotion_1,X3,9.956,0.0
Locomotion_1,X3,10.088,0.0
Locomotion_1,X3,10.221,0.0
Locomotion_1,X3,10.354,0.0
Locomotion_1,X3,10.487,0.0
Locomotion_1,X3,10.619,0.0
Locomotion_1,X3,10.752,0.0
Locomotion_1,X3,10.885,0.0
Locomotion_1,X3,11.018,0.0
Locomotion_1,X3,11.15,0.0
Locomotion_1,X3,11.283,0.0
Locomotion_1,X3,11.416,0.0
Locomotion_1,X3,11.549,0.0
Locomotion_1,X3,11.681,0.0
Locomotion_1,X3,11.814,0.0
Locomotion_1,X3,11.947,0.0
Locomotion_1,X3,12.08,0.0
Locomotion_1,X3,12.212,0.0
Locomotion_1,X3,12.345,0.0
Locomotion_1,X3,12.478,0.0
Locomotion_1,X3,12.611,0.0
Locomotion_1,X3,12.743,0.0
Locomotion_1,X3,12.876,0.0
Locomotion_1,X3,13.009,0.0
Locomotion_1,X3,13.142,0.0
Locomotion_1,X3,13.274,0.0
Locomotion_1,X3,13.407,0.0
Locomotion_1,X3,13.54,0.0
Locomotion_1,X3,13.673,0.0
Locomotion_1,X3,13.805,0.0
Locomotion_1,X3,13.938,0.0
Locomotion_1,X3,14.071,0.0
Locomotion_1,X3,14.204,0.0
Locomotion_1,X3,14.336,0.0
Locomotion_1,X3,14.469,0.0
Locomotion_1,X3,14.602,0.0
Locomotion_1,X3,14.735,0.0
Locomotion_1,X3,14.867,0.0
Locomotion_1,X3,15.0,0.0
Locomotion_1,X3,15.133,0.0
Locomotion_1,X3,15.265,0.0
Locomotion_1,X3,15.398,0.0
Locomotion_1,X3,15.531,0.0
Locomotion_1,X3,15.664,0.0
Locomotion_1,X3,15.796,0.0
Locomotion_1,X3,15.929,0.0
Locomotion_1,X3,16.062,0.0
Locomotion_1,X3,16.195,0.0
Locomotion_1,X3,16.327,0.0
Locomotion_1,X3,16.46,0.0
Locomotion_1,X3,16.593,0.0
Locomotion_1,X3,16.726,0.0
Locomotion_1,X3,16.858,0.0
Locomotion_1,X3,16.991,0.0
Locomotion_1,X3,17.124,0.0
Locomotion_1,X3,17.257,0.0
Locomotion_1,X3,17.389,0.0
Locomotion_1,X3,17.522,0.0
Locomotion_1,X3,17.655,0.0
Locomotion_1,X3,17.788,0.0
Locomotion_1,X3,17.92,0.0
Locomotion_1,X3,18.053,0.0
Locomotion_1,X3,18.186,0.0
Locomotion_1,X3,18.319,0.0
Locomotion_1,X3,18.451,0.0
Locomotion_1,X3,18.584,0.0
Locomotion_1,X3,18.717,0.0
Locomotion_1,X3,18.85,0.0
Locomotion_1,X3,18.982,0.0
Locomotion_1,X3,19.115,0.0
