panel,neuron,time_s,activation_normalized
Locomotion_1,X3,0.0,1.0
Locomotion_1,X3,0.072,0.0549
Locomotion_1,X3,0.144,0.0
Locomotion_1,X3,0.215,0.0
Locomotion_1,X3,0.287,0.0
Locomotion_1,X3,0.359,0.0
Locomotion_1,X3,0.431,0.0
Locomotion_1,X3,0.503,0.0
Locomotion_1,X3,0.575,0.0
Locomotion_1,X3,0.646,0.0
Locomotion_1,X3,0.718,0.0
Locomotion_1,X3,0.79,0.0
Locomotion_1,X3,0.862,0.0
Locomotion_1,X3,0.934,0.0
Locomotion_1,X3,1.005,0.0
Locomotion_1,X3,1.077,0.0
Locomotion_1,X3,1.149,0.0
Locomotion_1,X3,1.221,0.0
Locomotion_1,X3,1.293,0.0
Locomotion_1,X3,1.364,0.0
Locomotion_1,X3,1.436,0.0
Locomotion_1,X3,1.508,0.0
Locomotion_1,X3,1.58,0.0
Locomotion_1,X3,1.652,0.0
Locomotion_1,X3,1.724,0.0
Locomotion_1,X3,1.795,0.0
Locomotion_1,X3,1.867,0.0
Locomotion_1,X3,1.939,0.0
Locomotion_1,X3,2.011,0.0
Locomotion_1,X3,2.083,0.0
Locomotion_1,X3,2.154,0.0
Locomotion_1,X3,2.226,0.0
Locomotion_1,X3,2.298,0.0
Locomotion_1,X3,2.37,0.0
Locomotion_1,X3,2.442,0.0
Locomotion_1,X3,2.513,0.0
Locomotion_1,X3,2.585,0.0
Locomotion_1,X3,2.657,0.0
Locomotion_1,X3,2.729,0.0
Locomotion_1,X3,2.801,0.0
Locomotion_1,X3,2.873,0.0
Locomotion_1,X3,2.944,0.0
Locomotion_1,X3,3.016,0.0
Locomotion_1,X3,3.088,0.0
Locomotion_1,X3,3.16,0.0
Locomotion_1,X3,3.232,0.0
Locomotion_1,X3,3.303,0.0
Locomotion_1,X3,3.375,0.0
Locomotion_1,X3,3.447,0.0
Locomotion_1,X3,3.519,0.0
Locomotion_1,X3,3.591,0.0
Locomotion_1,X3,3.662,0.0
Locomotion_1,X3,3.734,0.0
Locomotion_1,X3,3.806,0.0
Locomotion_1,X3,3.878,0.0
Locomotion_1,X3,3.95,0.0
Locomotion_1,X3,4.022,0.0
Locomotion_1,X3,4.093,0.0
Locomotion_1,X3,4.165,0.0
Locomotion_1,X3,4.237,0.0
Locomotion_1,X3,4.309,0.0
Locomotion_1,X3,4.381,0.0
Locomotion_1,X3,4.452,0.0
Locomotion_1,X3,4.524,0.0
Locomotion_1,X3,4.596,0.0
Locomotion_1,X3,4.668,0.0
Locomotion_1,X3,4.74,0.0
Locomotion_1,X3,4.811,0.0
Locomotion_1,X3,4.883,0.0
Locomotion_1,X3,4.955,0.0
Locomotion_1,X3,5.027,0.0
Locomotion_1,X3,5.099,0.0
Locomotion_1,X3,5.171,0.0
Locomotion_1,X3,5.242,0.0
Locomotion_1,X3,5.314,0.0
Locomotion_1,X3,5.386,0.0
Locomotion_1,X3,5.458,0.0
Locomotion_1,X3,5.53,0.0
Locomotion_1,X3,5.601,0.0
Locomotion_1,X3,5.673,0.0
Locomotion_1,X3,5.745,0.0
Locomotion_1,X3,5.817,0.0
Locomotion_1,X3,5.889,0.0
Locomotion_1,X3,5.961,0.0
Locomotion_1,X3,6.032,0.0
Locomotion_1,X3,6.104,0.0
Locomotion_1,X3,6.176,0.0
Locomotion_1,X3,6.248,0.0
Locomotion_1,X3,6.32,0.0
Locomotion_1,X3,6.391,0.0
Locomotion_1,X3,6.463,0.0
Locomotion_1,X3,6.535,0.0
Locomotion_1,X3,6.607,0.0
Locomotion_1,X3,6.679,0.0
Locomotion_1,X3,6.75,0.0
Locomotion_1,X3,6.822,0.0
Locomotion_1,X3,6.894,0.0
Locomotion_1,X3,6.966,0.0
Locomotion_1,X3,7.038,0.0
Locomotion_1,X3,7.11,0.0
Locomotion_1,X3,7.181,0.0
Locomotion_1,X3,7.253,0.0
Locomotion_1,X3,7.325,0.0
Locomotion_1,X3,7.397,0.0
Locomotion_1,X3,7.469,0.0
Locomotion_1,X3,7.54,0.0
Locomotion_1,X3,7.612,0.0
Locomotion_1,X3,7.684,0.0
Locomotion_1,X3,7.756,0.0
Locomotion_1,X3,7.828,0.0
Locomotion_1,X3,7.899,0.0
Locomotion_1,X3,7.971,0.0
Locomotion_1,X3,8.043,0.0
Locomotion_1,X3,8.115,0.0
Locomotion_1,X3,8.187,0.0
Locomotion_1,X3,8.259,0.0
Locomotion_1,X3,8.33,0.0
Locomotion_1,X3,8.402,0.0
Locomotion_1,X3,8.474,0.0
Locomotion_1,X3,8.546,0.0
Locomotion_1,X3,8.618,0.0
Locomotion_1,X3,8.689,0.0
Locomotion_1,X3,8.761,0.0
Locomotion_1,X3,8.833,0.0
Locomotion_1,X3,8.905,0.0
Locomotion_1,X3,8.977,0.0
Locomotion_1,X3,9.048,0.0
Locomotion_1,X3,9.12,0.0
Locomotion_1,X3,9.192,0.0
Locomotion_1,X3,9.264,0.0
Locomotion_1,X3,9.336,0.0
Locomotion_1,X3,9.408,0.0
Locomotion_1,X3,9.479,0.0
Locomotion_1,X3,9.551,0.0
Locomotion_1,X3,9.623,0.0
Locomotion_1,X3,9.695,0.0
Locomotion_1,X3,9.767,0.0
Locomotion_1,X3,9.838,0.0
Locomotion_1,X3,9.91,0.0
Locomotion_1,X3,9.982,0.0
Locomotion_1,X3,10.054,0.0
Locomotion_1,X3,10.126,0.0
Locomotion_1,X3,10.197,0.0
Locomotion_1,X3,10.269,0.0
Locomotion_1,X3,10.341,0.0
Locomotion_1,X3,10.413,0.0
Locomotion_1,X3,10.485,0.0
Locomotion_1,X3,10.557,0.0
Locomotion_1,X3,10.628,0.0
Locomotion_1,X3,10.7,0.0
Locomotion_1,X3,10.772,0.0
Locomotion_1,X3,10.844,0.0
Locomotion_1,X3,10.916,0.0
Locomotion_1,X3,10.987,0.0
Locomotion_1,X3,11.059,0.0
Locomotion_1,X3,11.131,0.0
Locomotion_1,X3,11.203,0.0
Locomotion_1,X3,11.275,0.0
Locomotion_1,X3,11.346,0.0
Locomotion_1,X3,11.418,0.0
Locomotion_1,X3,11.49,0.0
Locomotion_1,X3,11.562,0.0
Locomotion_1,X3,11.634,0.0
Locomotion_1,X3,11.706,0.0
Locomotion_1,X3,11.777,0.0
Locomotion_1,X3,11.849,0.0
Locomotion_1,X3,11.921,0.0
Locomotion_1,X3,11.993,0.0
Locomotion_1,X3,12.065,0.0
Locomotion_1,X3,12.136,0.0
Locomotion_1,X3,12.208,0.0
Locomotion_1,X3,12.28,0.0
Locomotion_1,X3,12.352,0.0
Locomotion_1,X3,12.424,0.0
Locomotion_1,X3,12.496,0.0
Locomotion_1,X3,12.567,0.0
Locomotion_1,X3,12.639,0.0
Locomotion_1,X3,12.711,0.0
Locomotion_1,X3,12.783,0.0
Locomotion_1,X3,12.855,0.0
Locomotion_1,X3,12.926,0.0
Locomotion_1,X3,12.998,0.0
Locomotion_1,X3,13.07,0.0
Locomotion_1,X3,13.142,0.0
Locomotion_1,X3,13.214,0.0
Locomotion_1,X3,13.285,0.0
Locomotion_1,X3,13.357,0.0
Locomotion_1,X3,13.429,0.0
Locomotion_1,X3,13.501,0.0
Locomotion_1,X3,13.573,0.0
Locomotion_1,X3,13.645,0.0
Locomotion_1,X3,13.716,0.0
Locomotion_1,X3,13.788,0.0
Locomotion_1,X3,13.86,0.0
Locomotion_1,X3,13.932,0.0
Locomotion_1,X3,14.004,0.0
Locomotion_1,X3,14.075,0.0
Locomotion_1,X3,14.147,0.0
Locomotion_1,X3,14.219,0.0
Locomotion_1,X3,14.291,0.0
Locomotion_1,X3,14.363,0.0
Locomotion_1,X3,14.434,0.0
Locomotion_1,X3,14.506,0.0
Locomotion_1,X3,14.578,0.0
Locomotion_1,X3,14.65,0.0
Locomotion_1,X3,14.722,0.0
Locomotion_1,X3,14.794,0.0
Locomotion_1,X3,14.865,0.0
Locomotion_1,X3,14.937,0.0
Locomotion_1,X3,15.009,0.0
Locomotion_1,X3,15.081,0.0
Locomotion_1,X3,15.153,0.0
Locomotion_1,X3,15.224,0.0
Locomotion_1,X3,15.296,0.0
Locomotion_1,X3,15.368,0.0
Locomotion_1,X3,15.44,0.0
Locomotion_1,X3,15.512,0.0
Locomotion_1,X3,15.583,0.0
Locomotion_1,X3,15.655,0.0
Locomotion_1,X3,15.727,0.0
Locomotion_1,X3,15.799,0.0
Locomotion_1,X3,15.871,0.0
Locomotion_1,X3,15.943,0.0
Locomotion_1,X3,16.014,0.0
Locomotion_1,X3,16.086,0.0
Locomotion_1,X3,16.158,0.0
Locomotion_1,X3,16.23,0.0
Locomotion_1,X3,16.302,0.0
Locomotion_1,X3,16.373,0.0
Locomotion_1,X3,16.445,0.0
Locomotion_1,X3,16.517,0.0
Locomotion_1,X3,16.589,0.0
Locomotion_1,X3,16.661,0.0
Locomotion_1,X3,16.732,0.0
Locomotion_1,X3,16.804,0.0
Locomotion_1,X3,16.876,0.0
Locomotion_1,X3,16.948,0.0
Locomotion_1,X3,17.02,0.0
Locomotion_1,X3,17.092,0.0
Locomotion_1,X3,17.163,0.0
Locomotion_1,X3,17.235,0.0
Locomotion_1,X3,17.307,0.0
Locomotion_1,X3,17.379,0.0
Locomotion_1,X3,17.451,0.0
Locomotion_1,X3,17.522,0.0
Locomotion_1,X3,17.594,0.0
Locomotion_1,X3,17.666,0.0
Locomotion_1,X3,17.738,0.0
Locomotion_1,X3,17.81,0.0
Locomotion_1,X3,17.882,0.0
Locomotion_1,X3,17.953,0.0
Locomotion_1,X3,18.025,0.0
Locomotion_1,X3,18.097,0.0
Locomotion_1,X3,18.169,0.0
Locomotion_1,X3,18.241,0.0
Locomotion_1,X3,18.312,0.0
Locomotion_1,X3,18.384,0.0
Locomotion_1,X3,18.456,0.0
Locomotion_1,X3,18.528,0.0
Locomotion_1,X3,18.6,0.0
Locomotion_1,X3,18.671,0.0
Locomotion_1,X3,18.743,0.0
Locomotion_1,X3,18.815,0.0
Locomotion_1,X3,18.887,0.0
Locomotion_1,X3,18.959,0.0
Locomotion_1,X3,19.031,0.0
Locomotion_1,X3,19.102,0.0
Locomotion_1,X3,19.174,0.0
Locomotion_1,X3,19.246,0.0
Locomotion_1,X3,19.318,0.0
Locomotion_1,X3,19.39,0.0
Locomotion_1,X3,19.461,0.0
Locomotion_1,X3,19.533,0.0
Locomotion_1,X3,19.605,0.0
Locomotion_1,X3,19.677,0.0
Locomotion_1,X3,19.749,0.0
Locomotion_1,X3,19.82,0.0
Locomotion_1,X3,19.892,0.0
Locomotion_1,X3,19.964,0.0
Locomotion_1,X3,20.036,0.0
Locomotion_1,X3,20.108,0.0
Locomotion_1,X3,20.18,0.0
Locomotion_1,X3,20.251,0.0
Locomotion_1,X3,20.323,0.0
Locomotion_1,X3,20.395,0.0
Locomotion_1,X3,20.467,0.0
Locomotion_1,X3,20.539,0.0
Locomotion_1,X3,20.61,0.0
Locomotion_1,X3,20.682,0.0
Locomotion_1,X3,20.754,0.0
Locomotion_1,X3,20.826,0.0
Locomotion_1,X3,20.898,0.0
Locomotion_1,X3,20.969,0.0
Locomotion_1,X3,21.041,0.0
Locomotion_1,X3,21.113,0.0
Locomotion_1,X3,21.185,0.0
Locomotion_1,X3,21.257,0.0
Locomotion_1,X3,21.329,0.0
Locomotion_1,X3,21.4,0.0
Locomotion_1,X3,21.472,0.0
Locomotion_1,X3,21.544,0.0
Locomotion_1,X3,21.616,0.0
Locomotion_1,X3,21.688,0.0
Locomotion_1,X3,21.759,0.0
Locomotion_1,X3,21.831,0.0
Locomotion_1,X3,21.903,0.0
Locomotion_1,X3,21.975,0.0
Locomotion_1,X3,22.047,0.0
Locomotion_1,X3,22.118,0.0
Locomotion_1,X3,22.19,0.0
Locomotion_1,X3,22.262,0.0
Locomotion_1,X3,22.334,0.0
Locomotion_1,X3,22.406,0.0
Locomotion_1,X3,22.478,0.0
Locomotion_1,X3,22.549,0.0
Locomotion_1,X3,22.621,0.0
Locomotion_1,X3,22.693,0.0
Locomotion_1,X3,22.765,0.0
Locomotion_1,X3,22.837,0.0
Locomotion_1,X3,22.908,0.0
Locomotion_1,X3,22.98,0.0
Locomotion_1,X3,23.052,0.0
Locomotion_1,X3,23.124,0.0
Locomotion_1,X3,23.196,0.0
Locomotion_1,X3,23.268,0.0
Locomotion_1,X3,23.339,0.0
Locomotion_1,X3,23.411,0.0
Locomotion_1,X3,23.483,0.0
Locomotion_1,X3,23.555,0.0
Locomotion_1,X3,23.627,0.0
Locomotion_1,X3,23.698,0.0
Locomotion_1,X3,23.77,0.0
Locomotion_1,X3,23.842,0.0
Locomotion_1,X3,23.914,0.0
Locomotion_1,X3,23.986,0.0
Locomotion_1,X3,24.057,0.0
Locomotion_1,X3,24.129,0.0
Locomotion_1,X3,24.201,0.0
Locomotion_1,X3,24.273,0.0
Locomotion_1,X3,24.345,0.0
Locomotion_1,X3,24.417,0.0
Locomotion_1,X3,24.488,0.0
Locomotion_1,X3,24.56,0.0
Locomotion_1,X3,24.632,0.0
Locomotion_1,X3,24.704,0.0
Locomotion_1,X3,24.776,0.0
Locomotion_1,X3,24.847,0.0
Locomotion_1,X3,24.919,0.0
Locomotion_1,X3,24.991,0.0
Locomotion_1,X3,25.063,0.0
Locomotion_1,X3,25.135,0.0
Locomotion_1,X3,25.206,0.0
Locomotion_1,X3,25.278,0.0
Locomotion_1,X3,25.35,0.0
Locomotion_1,X3,25.422,0.0
Locomotion_1,X3,25.494,0.0
Locomotion_1,X3,25.566,0.0
Locomotion_1,X3,25.637,0.0
Locomotion_1,X3,25.709,0.0
Locomotion_1,X3,25.781,0.0
Locomotion_1,X3,25.853,0.0
Locomotion_1,X3,25.925,0.0
Locomotion_1,X3,25.996,0.0
Locomotion_1,X3,26.068,0.0
Locomotion_1,X3,26.14,0.0
Locomotion_1,X3,26.212,0.0
Locomotion_1,X3,26.284,0.0
Locomotion_1,X3,26.355,0.0
Locomotion_1,X3,26.427,0.0
Locomotion_1,X3,26.499,0.0
Locomotion_1,X3,26.571,0.0
