panel,neuron,time_s,activation_normalized
Locomotion_1,X3,0.067,1.0
Locomotion_1,X3,0.207,0.0549
Locomotion_1,X3,0.347,0.0
Locomotion_1,X3,0.487,0.0
Locomotion_1,X3,0.627,0.0
Locomotion_1,X3,0.767,0.0
Locomotion_1,X3,0.907,0.0
Locomotion_1,X3,1.047,0.0
Locomotion_1,X3,1.187,0.0
Locomotion_1,X3,1.327,0.0
Locomotion_1,X3,1.467,0.0
Locomotion_1,X3,1.607,0.0
Locomotion_1,X3,1.747,0.0
Locomotion_1,X3,1.887,0.0
Locomotion_1,X3,2.027,0.0
Locomotion_1,X3,2.167,0.0
Locomotion_1,X3,2.307,0.0
Locomotion_1,X3,2.447,0.0
Locomotion_1,X3,2.587,0.0
Locomotion_1,X3,2.727,0.0
Locomotion_1,X3,2.867,0.0
Locomotion_1,X3,3.007,0.0
Locomotion_1,X3,3.147,0.0
Locomotion_1,X3,3.287,0.0
Locomotion_1,X3,3.427,0.0
Locomotion_1,X3,3.567,0.0
Locomotion_1,X3,3.707,0.0
Locomotion_1,X3,3.847,0.0
Locomotion_1,X3,3.987,0.0
Locomotion_1,X3,4.127,0.0
Locomotion_1,X3,4.267,0.0
Locomotion_1,X3,4.407,0.0
Locomotion_1,X3,4.547,0.0
Locomotion_1,X3,4.687,0.0
Locomotion_1,X3,4.827,0.0
Locomotion_1,X3,4.967,0.0
Locomotion_1,X3,5.107,0.0
Locomotion_1,X3,5.247,0.0
Locomotion_1,X3,5.387,0.0
Locomotion_1,X3,5.527,0.0
Locomotion_1,X3,5.667,0.0
Locomotion_1,X3,5.807,0.0
Locomotion_1,X3,5.947,0.0
Locomotion_1,X3,6.087,0.0
Locomotion_1,X3,6.227,0.0
Locomotion_1,X3,6.367,0.0
Locomotion_1,X3,6.507,0.0
Locomotion_1,X3,6.647,0.0
Locomotion_1,X3,6.787,0.0
Locomotion_1,X3,6.927,0.0
Locomotion_1,X3,7.067,0.0
Locomotion_1,X3,7.207,0.0
Locomotion_1,X3,7.347,0.0
Locomotion_1,X3,7.487,0.0
Locomotion_1,X3,7.627,0.0
Locomotion_1,X3,7.767,0.0
Locomotion_1,X3,7.907,0.0
Locomotion_1,X3,8.047,0.0
Locomotion_1,X3,8.187,0.0
Locomotion_1,X3,8.327,0.0
Locomotion_1,X3,8.467,0.0
Locomotion_1,X3,8.607,0.0
Locomotion_1,X3,8.747,0.0
Locomotion_1,X3,8.887,0.0
Locomotion_1,X3,9.027,0.0
Locomotion_1,X3,9.167,0.0
Locomotion_1,X3,9.307,0.0
Locomotion_1,X3,9.447,0.0
Locomotion_1,X3,9.587,0.0
