panel,neuron,time_s,activation_normalized
Locomotion_1,X3,0.0,1.0
Locomotion_1,X3,0.15,0.0549
Locomotion_1,X3,0.3,0.0
Locomotion_1,X3,0.449,0.0
Locomotion_1,X3,0.599,0.0
Locomotion_1,X3,0.749,0.0
Locomotion_1,X3,0.899,0.0
Locomotion_1,X3,1.049,0.0
Locomotion_1,X3,1.199,0.0
Locomotion_1,X3,1.348,0.0
Locomotion_1,X3,1.498,0.0
Locomotion_1,X3,1.648,0.0
Locomotion_1,X3,1.798,0.0
Locomotion_1,X3,1.948,0.0
Locomotion_1,X3,2.097,0.0
Locomotion_1,X3,2.247,0.0
Locomotion_1,X3,2.397,0.0
Locomotion_1,X3,2.547,0.0
Locomotion_1,X3,2.697,0.0
Locomotion_1,X3,2.846,0.0
Locomotion_1,X3,2.996,0.0
Locomotion_1,X3,3.146,0.0
Locomotion_1,X3,3.296,0.0
Locomotion_1,X3,3.446,0.0
Locomotion_1,X3,3.596,0.0
Locomotion_1,X3,3.745,0.0
Locomotion_1,X3,3.895,0.0
Locomotion_1,X3,4.045,0.0
Locomotion_1,X3,4.195,0.0
Locomotion_1,X3,4.345,0.0
Locomotion_1,X3,4.494,0.0
Locomotion_1,X3,4.644,0.0
Locomotion_1,X3,4.794,0.0
Locomotion_1,X3,4.944,0.0
Locomotion_1,X3,5.094,0.0
Locomotion_1,X3,5.243,0.0
Locomotion_1,X3,5.393,0.0
Locomotion_1,X3,5.543,0.0
Locomotion_1,X3,5.693,0.0
Locomotion_1,X3,5.843,0.0
Locomotion_1,X3,5.993,0.0
Locomotion_1,X3,6.142,0.0
Locomotion_1,X3,6.292,0.0
Locomotion_1,X3,6.442,0.0
Locomotion_1,X3,6.592,0.0
Locomotion_1,X3,6.742,0.0
Locomotion_1,X3,6.891,0.0
Locomotion_1,X3,7.041,0.0
Locomotion_1,X3,7.191,0.0
Locomotion_1,X3,7.341,0.0
Locomotion_1,X3,7.491,0.0
Locomotion_1,X3,7.64,0.0
Locomotion_1,X3,7.79,0.0
Locomotion_1,X3,7.94,0.0
Locomotion_1,X3,8.09,0.0
Locomotion_1,X3,8.24,0.0
Locomotion_1,X3,8.39,0.0
Locomotion_1,X3,8.539,0.0
Locomotion_1,X3,8.689,0.0
Locomotion_1,X3,8.839,0.0
Locomotion_1,X3,8.989,0.0
Locomotion_1,X3,9.139,0.0
Locomotion_1,X3,9.288,0.0
Locomotion_1,X3,9.438,0.0
Locomotion_1,X3,9.588,0.0
Locomotion_1,X3,9.738,0.0
Locomotion_1,X3,9.888,0.0
Locomotion_1,X3,10.037,0.0
Locomotion_1,X3,10.187,0.0
Locomotion_1,X3,10.337,0.0
Locomotion_1,X3,10.487,0.0
Locomotion_1,X3,10.637,0.0
Locomotion_1,X3,10.787,0.0
Locomotion_1,X3,10.936,0.0
Locomotion_1,X3,11.086,0.0
Locomotion_1,X3,11.236,0.0
Locomotion_1,X3,11.386,0.0
Locomotion_1,X3,11.536,0.0
Locomotion_1,X3,11.685,0.0
Locomotion_1,X3,11.835,0.0
Locomotion_1,X3,11.985,0.0
Locomotion_1,X3,12.135,0.0
Locomotion_1,X3,12.285,0.0
Locomotion_1,X3,12.434,0.0
Locomotion_1,X3,12.584,0.0
Locomotion_1,X3,12.734,0.0
Locomotion_1,X3,12.884,0.0
Locomotion_1,X3,13.034,0.0
Locomotion_1,X3,13.184,0.0
Locomotion_1,X3,13.333,0.0
Locomotion_1,X3,13.483,0.0
Locomotion_1,X3,13.633,0.0
Locomotion_1,X3,13.783,0.0
Locomotion_1,X3,13.933,0.0
Locomotion_1,X3,14.082,0.0
Locomotion_1,X3,14.232,0.0
Locomotion_1,X3,14.382,0.0
Locomotion_1,X3,14.532,0.0
Locomotion_1,X3,14.682,0.0
Locomotion_1,X3,14.831,0.0
Locomotion_1,X3,14.981,0.0
Locomotion_1,X3,15.131,0.0
Locomotion_1,X3,15.281,0.0
Locomotion_1,X3,15.431,0.0
Locomotion_1,X3,15.581,0.0
Locomotion_1,X3,15.73,0.0
Locomotion_1,X3,15.88,0.0
Locomotion_1,X3,16.03,0.0
Locomotion_1,X3,16.18,0.0
Locomotion_1,X3,16.33,0.0
Locomotion_1,X3,16.479,0.0
Locomotion_1,X3,16.629,0.0
Locomotion_1,X3,16.779,0.0
Locomotion_1,X3,16.929,0.0
Locomotion_1,X3,17.079,0.0
Locomotion_1,X3,17.228,0.0
Locomotion_1,X3,17.378,0.0
Locomotion_1,X3,17.528,0.0
Locomotion_1,X3,17.678,0.0
Locomotion_1,X3,17.828,0.0
